status,product_area,response,justification,request_type
replied,candidate_experience,"The documentation only mentions an automatic move to the lobby after 3 minutes if no interviewer joins a scheduled interview. It does not provide information on inactivity times or settings for interviewers or candidates. The behavior described may be related to inactivity, but the specifics are not covered in the provided documentation. For further assistance, I recommend contacting support to discuss possible solutions or settings that may help extend the time allowed for interviewers and candidates to collaborate without being disconnected.",Replied based on corpus retrieval (4 doc(s) retrieved). Product area: candidate_experience. Request type: feature_request. Company: HackerRank.,feature_request
replied,general,"To troubleshoot the issue, try refreshing the page and ensure that the extension is enabled. Also, check that you've granted permission for the current site, as some sites may require a moment to fully load. If the problem persists, you can find additional support options by logging into your account, clicking on your profile, and selecting ""Get help"". If you're still having trouble, you can contact us directly for further assistance.",Replied based on corpus retrieval (4 doc(s) retrieved). Product area: general. Request type: product_issue. Company: Unknown.,product_issue
replied,team_management,"To remove a user, you can select the ellipsis (⋯) icon next to the user's name, but this will deactivate the user. If you're looking to remove a user from a shared interview template, you can do so by selecting the user or team in the **Share Interview Template** dialog box and choosing **Remove User** from the drop-down menu. However, the documentation doesn't explicitly cover removing an interviewer from the platform. For further assistance, I recommend contacting our support team for more information.",Replied based on corpus retrieval (4 doc(s) retrieved). Product area: team_management. Request type: product_issue. Company: HackerRank.,product_issue
replied,billing,"To pause your subscription, you'll need to ensure you have a monthly subscription that's at least 30 days old and is either an Individual Monthly - Basic or Interview Monthly plan. You can then access your subscription settings by clicking on the profile icon and selecting Settings, then navigating to the Billing section under Subscription. If you meet the conditions, you can follow the steps to pause your subscription. If you're unsure about your eligibility or need further assistance, please contact support for help.",Replied based on corpus retrieval (4 doc(s) retrieved). Product area: billing. Request type: feature_request. Company: HackerRank.,feature_request
replied,claude_ai_app,"You can try troubleshooting by ensuring you're not using a VPN, disabling any active browser extensions, and clearing your browser's cache and cookies. If the issue persists, it's possible that API failures, temporary service issues, or network connectivity problems are causing the problem. For further assistance, you can contact our Support team by clicking on the message icon in the bottom right of our Help Center or by clicking your initials in the lower left corner of your Claude Console account, then ""Get help.""",Replied based on corpus retrieval (4 doc(s) retrieved). Product area: claude_ai_app. Request type: product_issue. Company: Claude.,product_issue
escalated,fraud_dispute,"Thank you for reaching out. This issue requires attention from our specialized support team and has been escalated. A representative will contact you shortly. Please do not share any sensitive information (passwords, card numbers) in follow-up messages.",Escalated due to: Hard escalation trigger: 'identity theft'. Product area: fraud_dispute. Classification: product_issue.,product_issue
replied,candidate_experience,"To create a resume, you can follow the steps outlined in our documentation, starting with selecting **Resume Builder** from the dropdown menu and then clicking **Create New**. However, if the Resume Builder is currently down, the provided documentation does not cover troubleshooting or resolving this specific issue. You can try checking back later to see if the Resume Builder is available. For further assistance, I recommend contacting our support team for help with resolving the issue.",Replied based on corpus retrieval (4 doc(s) retrieved). Product area: candidate_experience. Request type: product_issue. Company: HackerRank.,product_issue
replied,assessments,"You can update the name on your certificate yourself, but please note that this can only be done once per account. To do so, open your certificate page, enter the correct name in the **Full Name** field, and then click **Regenerate Certificate**. After confirming the update, your certificate will be updated with the new name. If you need further assistance, feel free to contact support.",Replied based on corpus retrieval (4 doc(s) retrieved). Product area: assessments. Request type: product_issue. Company: HackerRank.,product_issue
replied,fraud_dispute,"To dispute a charge, please contact your issuer or bank using the freephone number located on the front or back of your Visa card. Your issuer or bank may require detailed information regarding the transaction before resolving the disputed charge. You can find the freephone number on your Visa card, and it's free to call when dialling from within the USA. For more information, you can also download the dispute guidelines from our website.",Replied based on corpus retrieval (4 doc(s) retrieved). Product area: fraud_dispute. Request type: product_issue. Company: Visa.,product_issue
escalated,claude_code,"Thank you for reaching out. This issue requires attention from our specialized support team and has been escalated. A representative will contact you shortly. Please do not share any sensitive information (passwords, card numbers) in follow-up messages.",Escalated due to: security vulnerability. Product area: claude_code. Classification: bug.,bug
replied,data_privacy,"To block Claude's web crawler from your website, you can refer to the article ""Does Anthropic crawl data from the web, and how can site owners block the crawler?"" which provides information on how site owners can block the crawler. This article can be found in the Related Articles section. For more detailed instructions, you can visit the support page and follow the steps outlined in the article. If you need further assistance, you can contact support for help.",Replied based on corpus retrieval (4 doc(s) retrieved). Product area: data_privacy. Request type: feature_request. Company: Claude.,feature_request
replied,international_use,"To access cash, look for ATMs with the Visa PLUS mark, which allow you to withdraw local currency using your Visa card and PIN. You can locate these ATMs by visiting the Visa ATM locator at http://www.visa.com/atmlocator. This will help you find a nearby ATM where you can withdraw cash. If you encounter any issues, please visit our support page for further assistance.",Replied based on corpus retrieval (4 doc(s) retrieved). Product area: international_use. Request type: product_issue. Company: Visa.,product_issue
replied,data_privacy,"Your data will be stored securely for up to two years. During this time, it will be used to improve Claude's models, but it will not be associated with other customer information. After the two-year period, the data will no longer be used for model training. Please note that your data is used solely to make Claude better for everyone, and it will not be used for any other purposes, such as contacting or marketing to you.",Replied based on corpus retrieval (4 doc(s) retrieved). Product area: data_privacy. Request type: product_issue. Company: Claude.,product_issue
replied,general,"To delete files, you can use the three-dot menu next to the uploaded file to remove or download it. This option is available after you upload files under **Initial files** or **Final files**. There is no code provided to delete all files from the system. If you need to delete candidate data in bulk, you can submit a request to our support team. For more information on deleting other types of data, you may want to refer to the documentation on deleting an account.",Replied based on corpus retrieval (4 doc(s) retrieved). Product area: general. Request type: invalid. Company: HackerRank.,invalid
escalated,transaction_issue,"Thank you for reaching out. This issue requires attention from our specialized support team and has been escalated. A representative will contact you shortly. Please do not share any sensitive information (passwords, card numbers) in follow-up messages.",Escalated due to: Hard escalation trigger: 'fraud'. Product area: transaction_issue. Classification: product_issue.,product_issue
replied,api_access,"For issues with Claude in Amazon Bedrock, you can contact AWS Support or reach out to your AWS account manager for assistance. Additionally, you can visit AWS re:Post for community-based support. The provided documentation does not cover specific troubleshooting steps for request failures, so it's recommended to contact AWS Support for further guidance. They will be able to help you investigate and resolve the issues with your project.",Replied based on corpus retrieval (4 doc(s) retrieved). Product area: api_access. Request type: product_issue. Company: Claude.,product_issue
replied,team_management,"To remove the former employee from your HackerRank hiring account, log in as a Company Admin and access the Candidates Page. Search for the employee and click the delete option to remove them. If the employee had additional user accounts, you can also delete them from the integration settings page. This will ensure they no longer have access to your company's account.",Replied based on corpus retrieval (4 doc(s) retrieved). Product area: team_management. Request type: product_issue. Company: HackerRank.,product_issue
replied,account_access,"The provided documentation is primarily focused on setting up and managing Claude for Education at universities for Admins, Owners, and Primary Owners. For information on setting up a Claude LTI key for students, I recommend checking the [FAQs for student, faculty, and other users](https://support.claude.com/en/articles/11139144-faqs-on-using-claude-for-education-at-your-university) as it may have relevant details. If you're unable to find the necessary information, I suggest contacting support for further assistance.",Replied based on corpus retrieval (4 doc(s) retrieved). Product area: account_access. Request type: feature_request. Company: Claude.,feature_request
replied,merchant_issues,"In the US Virgin Islands, an exception to the general rule applies, allowing merchants to require a minimum transaction amount of $10 for credit card transactions. This means that the merchant's request is in line with Visa's rules. If you're using a debit card, however, the merchant should not be imposing a minimum spend requirement. If you have further concerns, you can fill out the form on our website to report the issue.",Replied based on corpus retrieval (4 doc(s) retrieved). Product area: merchant_issues. Request type: product_issue. Company: Visa.,product_issue
